D:\vkr_folder\venv\Scripts\python.exe D:\vkr_folder\classifiers\optimize\optimize.py
[I 2023-04-16 08:15:00,342] A new study created in memory with name: Test study
[I 2023-04-16 08:15:06,109] Trial 0 finished with value: 0.5026593445370737 and parameters: {'criterion': 'entropy', 'min_samples_split': 30157, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'n_estimators': 1970, 'max_depth': 1.9002577048933749}. Best is trial 0 with value: 0.5026593445370737.
[I 2023-04-16 08:42:04,454] Trial 284 finished with value: 0.6410265474457615 and parameters: {'criterion': 'entropy', 'min_samples_split': 16, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1372, 'max_depth': 843.5773671317828}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:43:09,602] Trial 285 finished with value: 0.6319780777204358 and parameters: {'criterion': 'entropy', 'min_samples_split': 701, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1395, 'max_depth': 867.1839828751952}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:44:16,515] Trial 286 finished with value: 0.6311047152750209 and parameters: {'criterion': 'entropy', 'min_samples_split': 731, 'min_samples_leaf': 4, 'max_features': 'log2', 'n_estimators': 1465, 'max_depth': 835.2270865371065}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:45:24,176] Trial 287 finished with value: 0.6322953489984057 and parameters: {'criterion': 'entropy', 'min_samples_split': 610, 'min_samples_leaf': 3, 'max_features': 'log2', 'n_estimators': 1442, 'max_depth': 961.8802382510596}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:46:32,595] Trial 288 finished with value: 0.6324541736768812 and parameters: {'criterion': 'entropy', 'min_samples_split': 601, 'min_samples_leaf': 3, 'max_features': 'log2', 'n_estimators': 1489, 'max_depth': 856.2711243082462}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:47:50,639] Trial 289 finished with value: 0.639518043819354 and parameters: {'criterion': 'entropy', 'min_samples_split': 60, 'min_samples_leaf': 3, 'max_features': 'log2', 'n_estimators': 1450, 'max_depth': 937.9186135873448}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:49:05,840] Trial 290 finished with value: 0.6405502939564075 and parameters: {'criterion': 'entropy', 'min_samples_split': 109, 'min_samples_leaf': 3, 'max_features': 'log2', 'n_estimators': 1477, 'max_depth': 896.6408175355941}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:50:59,590] Trial 291 finished with value: 0.6344364417726863 and parameters: {'criterion': 'entropy', 'min_samples_split': 472, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1488, 'max_depth': 894.8365263260823}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:52:13,566] Trial 292 finished with value: 0.6398351890709969 and parameters: {'criterion': 'entropy', 'min_samples_split': 19, 'min_samples_leaf': 3, 'max_features': 'log2', 'n_estimators': 1448, 'max_depth': 1070.5261478955842}. Best is trial 284 with value: 0.6410265474457615.
[I 2023-04-16 08:54:18,907] Trial 293 finished with value: 0.6414997763032698 and parameters: {'criterion': 'entropy', 'min_samples_split': 74, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1497, 'max_depth': 866.6411661241631}. Best is trial 293 with value: 0.6414997763032698.
[I 2023-04-16 08:56:32,602] Trial 294 finished with value: 0.6403889487513942 and parameters: {'criterion': 'entropy', 'min_samples_split': 40, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1532, 'max_depth': 1026.8936015610723}. Best is trial 293 with value: 0.6414997763032698.
[I 2023-04-16 08:58:31,212] Trial 295 finished with value: 0.6395168150626666 and parameters: {'criterion': 'entropy', 'min_samples_split': 328, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1497, 'max_depth': 1118.2783191013334}. Best is trial 293 with value: 0.6414997763032698.
[I 2023-04-16 09:00:39,421] Trial 296 finished with value: 0.641738659205908 and parameters: {'criterion': 'entropy', 'min_samples_split': 128, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1520, 'max_depth': 1133.8579283777376}. Best is trial 296 with value: 0.641738659205908.
[I 2023-04-16 09:02:55,069] Trial 297 finished with value: 0.6412617755849197 and parameters: {'criterion': 'entropy', 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1529, 'max_depth': 1191.958851643978}. Best is trial 296 with value: 0.641738659205908.
[I 2023-04-16 09:05:10,582] Trial 298 finished with value: 0.6418973578580566 and parameters: {'criterion': 'entropy', 'min_samples_split': 24, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1541, 'max_depth': 1207.6228546303018}. Best is trial 298 with value: 0.6418973578580566.
[I 2023-04-16 09:07:12,757] Trial 299 finished with value: 0.6409451029320025 and parameters: {'criterion': 'entropy', 'min_samples_split': 298, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1531, 'max_depth': 1115.8183351989762}. Best is trial 298 with value: 0.6418973578580566.
[I 2023-04-16 09:09:21,109] Trial 300 finished with value: 0.642452818893867 and parameters: {'criterion': 'entropy', 'min_samples_split': 82, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1516, 'max_depth': 1207.9122693698357}. Best is trial 300 with value: 0.642452818893867.
[I 2023-04-16 09:11:32,969] Trial 301 finished with value: 0.6416590105673075 and parameters: {'criterion': 'entropy', 'min_samples_split': 66, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1516, 'max_depth': 1241.3253905731863}. Best is trial 300 with value: 0.642452818893867.
[I 2023-04-16 09:13:48,339] Trial 302 finished with value: 0.6419763763650226 and parameters: {'criterion': 'entropy', 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1522, 'max_depth': 1106.6413919836373}. Best is trial 300 with value: 0.642452818893867.
[I 2023-04-16 09:15:49,948] Trial 303 finished with value: 0.6379286943042402 and parameters: {'criterion': 'entropy', 'min_samples_split': 333, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1535, 'max_depth': 1261.2442724241146}. Best is trial 300 with value: 0.642452818893867.
[I 2023-04-16 09:17:57,999] Trial 304 finished with value: 0.6408654857999836 and parameters: {'criterion': 'entropy', 'min_samples_split': 164, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1540, 'max_depth': 1169.8085170545958}. Best is trial 300 with value: 0.642452818893867.
[I 2023-04-16 09:20:14,159] Trial 305 finished with value: 0.6424525668412131 and parameters: {'criterion': 'entropy', 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1535, 'max_depth': 1169.618201509889}. Best is trial 300 with value: 0.642452818893867.
[I 2023-04-16 09:22:24,598] Trial 306 finished with value: 0.64308814911435 and parameters: {'criterion': 'entropy', 'min_samples_split': 114, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1541, 'max_depth': 1114.1667018997719}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:24:36,704] Trial 307 finished with value: 0.6422147551623534 and parameters: {'criterion': 'entropy', 'min_samples_split': 51, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1540, 'max_depth': 1190.0269674291776}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:26:42,424] Trial 308 finished with value: 0.6398338973011463 and parameters: {'criterion': 'entropy', 'min_samples_split': 200, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1522, 'max_depth': 1184.585533203537}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:28:59,645] Trial 309 finished with value: 0.641182599545045 and parameters: {'criterion': 'entropy', 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1547, 'max_depth': 1169.6706910602572}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:31:09,666] Trial 310 finished with value: 0.6411830721437709 and parameters: {'criterion': 'entropy', 'min_samples_split': 163, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1539, 'max_depth': 1181.0915555114245}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:33:27,922] Trial 311 finished with value: 0.642214566122863 and parameters: {'criterion': 'entropy', 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1542, 'max_depth': 1308.9760975469608}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:35:44,159] Trial 312 finished with value: 0.6428497703170193 and parameters: {'criterion': 'entropy', 'min_samples_split': 35, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1540, 'max_depth': 1194.6576935021692}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:37:56,136] Trial 313 finished with value: 0.64308814911435 and parameters: {'criterion': 'entropy', 'min_samples_split': 93, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1537, 'max_depth': 1191.3069913754}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:40:24,092] Trial 314 finished with value: 0.642373201761848 and parameters: {'criterion': 'entropy', 'min_samples_split': 21, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1590, 'max_depth': 1173.4810206926375}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:42:46,066] Trial 315 finished with value: 0.6422145661228631 and parameters: {'criterion': 'entropy', 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1589, 'max_depth': 1216.8135902917522}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:44:53,130] Trial 316 finished with value: 0.6395958650762144 and parameters: {'criterion': 'gini', 'min_samples_split': 252, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'n_estimators': 1592, 'max_depth': 1274.6008475199135}. Best is trial 306 with value: 0.64308814911435.
[I 2023-04-16 09:47:23,914] Trial 317 finished with value: 0.6435642450707953 and parameters: {'criterion': 'gini', 'min_samples_split': 69, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1581, 'max_depth': 1284.5019313755113}. Best is trial 317 with value: 0.6435642450707953.
[I 2023-04-16 09:49:39,978] Trial 318 finished with value: 0.64340542039232 and parameters: {'criterion': 'gini', 'min_samples_split': 67, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1555, 'max_depth': 1184.2468320940986}. Best is trial 317 with value: 0.6435642450707953.
[I 2023-04-16 09:52:03,566] Trial 319 finished with value: 0.6438819889474912 and parameters: {'criterion': 'gini', 'min_samples_split': 30, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1643, 'max_depth': 1418.4577645614052}. Best is trial 319 with value: 0.6438819889474912.
[I 2023-04-16 09:54:40,602] Trial 320 finished with value: 0.6424530709465207 and parameters: {'criterion': 'gini', 'min_samples_split': 59, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1652, 'max_depth': 1423.1873891877187}. Best is trial 319 with value: 0.6438819889474912.
[I 2023-04-16 09:57:05,541] Trial 321 finished with value: 0.6438025923615444 and parameters: {'criterion': 'gini', 'min_samples_split': 77, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1663, 'max_depth': 1406.3243018659766}. Best is trial 319 with value: 0.6438819889474912.
[I 2023-04-16 09:59:23,725] Trial 322 finished with value: 0.6426118641184144 and parameters: {'criterion': 'gini', 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1655, 'max_depth': 1421.2553242622464}. Best is trial 319 with value: 0.6438819889474912.
[I 2023-04-16 10:01:05,886] Trial 323 finished with value: 0.6249914302097708 and parameters: {'criterion': 'gini', 'min_samples_split': 1300, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1664, 'max_depth': 1459.2573038806838}. Best is trial 319 with value: 0.6438819889474912.
[I 2023-04-16 10:02:47,995] Trial 324 finished with value: 0.6290403410272406 and parameters: {'criterion': 'gini', 'min_samples_split': 1105, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1620, 'max_depth': 1402.482655567997}. Best is trial 319 with value: 0.6438819889474912.
[I 2023-04-16 10:04:56,202] Trial 325 finished with value: 0.6447550363270887 and parameters: {'criterion': 'gini', 'min_samples_split': 70, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1591, 'max_depth': 1660.9349371633475}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:07:05,996] Trial 326 finished with value: 0.642611549052597 and parameters: {'criterion': 'gini', 'min_samples_split': 36, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1580, 'max_depth': 1689.441209012694}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:09:17,619] Trial 327 finished with value: 0.6426112339867798 and parameters: {'criterion': 'gini', 'min_samples_split': 26, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1578, 'max_depth': 1668.5098872881779}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:10:54,307] Trial 328 finished with value: 0.6253888227250672 and parameters: {'criterion': 'gini', 'min_samples_split': 1372, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 1588, 'max_depth': 1861.4914915331194}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:12:34,311] Trial 329 finished with value: 0.626182599545045 and parameters: {'criterion': 'gini', 'min_samples_split': 1388, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1642, 'max_depth': 1600.4182099415234}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:14:40,204] Trial 330 finished with value: 0.6423736743605739 and parameters: {'criterion': 'gini', 'min_samples_split': 94, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1582, 'max_depth': 1372.0821112266058}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:16:48,272] Trial 331 finished with value: 0.6433261183261183 and parameters: {'criterion': 'gini', 'min_samples_split': 54, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1589, 'max_depth': 1379.8505718162212}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:18:24,399] Trial 332 finished with value: 0.6261826625582084 and parameters: {'criterion': 'gini', 'min_samples_split': 1326, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1585, 'max_depth': 1415.4194440589147}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:20:05,104] Trial 333 finished with value: 0.6240397739087695 and parameters: {'criterion': 'gini', 'min_samples_split': 1410, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1665, 'max_depth': 1629.4226613712983}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:22:15,222] Trial 334 finished with value: 0.6439612910136927 and parameters: {'criterion': 'gini', 'min_samples_split': 75, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1619, 'max_depth': 1339.2025974455535}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:23:59,537] Trial 335 finished with value: 0.6245949198787628 and parameters: {'criterion': 'gini', 'min_samples_split': 1316, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1703, 'max_depth': 1871.1387604956221}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:26:15,305] Trial 336 finished with value: 0.6443579903841913 and parameters: {'criterion': 'gini', 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1622, 'max_depth': 1407.472609878775}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:27:54,630] Trial 337 finished with value: 0.6252300295531736 and parameters: {'criterion': 'gini', 'min_samples_split': 1327, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1618, 'max_depth': 1490.258431400434}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:29:35,054] Trial 338 finished with value: 0.6267379660611101 and parameters: {'criterion': 'gini', 'min_samples_split': 1277, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1638, 'max_depth': 1998.8281668905333}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:31:44,641] Trial 339 finished with value: 0.6442786883179895 and parameters: {'criterion': 'gini', 'min_samples_split': 36, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1577, 'max_depth': 1409.6112184794356}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:33:19,791] Trial 340 finished with value: 0.6253886966987404 and parameters: {'criterion': 'gini', 'min_samples_split': 1385, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1578, 'max_depth': 1402.004092072786}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:35:33,217] Trial 341 finished with value: 0.6436434526172518 and parameters: {'criterion': 'gini', 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1598, 'max_depth': 1661.2080191763553}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:37:18,371] Trial 342 finished with value: 0.6246740644120556 and parameters: {'criterion': 'gini', 'min_samples_split': 1227, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1693, 'max_depth': 1656.710536801253}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:38:58,719] Trial 343 finished with value: 0.6258644775893684 and parameters: {'criterion': 'gini', 'min_samples_split': 1235, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1605, 'max_depth': 1414.0982938078168}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:40:37,132] Trial 344 finished with value: 0.6216583174225097 and parameters: {'criterion': 'gini', 'min_samples_split': 1725, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1738, 'max_depth': 1742.8485332519626}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:42:47,474] Trial 345 finished with value: 0.6447549103007619 and parameters: {'criterion': 'gini', 'min_samples_split': 17, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1574, 'max_depth': 1374.277318573254}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:42:51,041] Trial 346 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 13104, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1575, 'max_depth': 1598.054866411238}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:45:07,295] Trial 347 finished with value: 0.6433258977800463 and parameters: {'criterion': 'gini', 'min_samples_split': 33, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1656, 'max_depth': 1369.3330987614556}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:46:49,780] Trial 348 finished with value: 0.6252296829807747 and parameters: {'criterion': 'gini', 'min_samples_split': 1246, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 1655, 'max_depth': 1412.089371016252}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:49:19,428] Trial 349 finished with value: 0.6429292614227111 and parameters: {'criterion': 'gini', 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1784, 'max_depth': 1701.5903251434672}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:50:50,992] Trial 350 finished with value: 0.6231667895423355 and parameters: {'criterion': 'gini', 'min_samples_split': 1770, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1623, 'max_depth': 1726.2415561209361}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:52:41,661] Trial 351 finished with value: 0.6311037385709876 and parameters: {'criterion': 'gini', 'min_samples_split': 1013, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1789, 'max_depth': 1989.013178055451}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:54:38,326] Trial 352 finished with value: 0.6289607238952216 and parameters: {'criterion': 'gini', 'min_samples_split': 1101, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1681, 'max_depth': 1573.5077110166956}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:56:18,489] Trial 353 finished with value: 0.6222942147614636 and parameters: {'criterion': 'gini', 'min_samples_split': 1984, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1624, 'max_depth': 1413.656619615935}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:59:05,217] Trial 354 finished with value: 0.6441992602254611 and parameters: {'criterion': 'gini', 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1853, 'max_depth': 1539.9848103801585}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 10:59:09,625] Trial 355 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 30126, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1838, 'max_depth': 1709.2311443205062}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:01:19,403] Trial 356 finished with value: 0.629278310239009 and parameters: {'criterion': 'gini', 'min_samples_split': 963, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 1770, 'max_depth': 1420.0641567558941}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:03:20,063] Trial 357 finished with value: 0.6230878340485327 and parameters: {'criterion': 'gini', 'min_samples_split': 1874, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1940, 'max_depth': 1615.8548029121055}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:05:29,611] Trial 358 finished with value: 0.6306276111079605 and parameters: {'criterion': 'gini', 'min_samples_split': 1033, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1873, 'max_depth': 1966.0511695299815}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:07:12,341] Trial 359 finished with value: 0.6299130418344392 and parameters: {'criterion': 'gini', 'min_samples_split': 860, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1578, 'max_depth': 1390.3191059551457}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:07:16,016] Trial 360 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 19805, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1658, 'max_depth': 1597.0058874920278}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:09:39,077] Trial 361 finished with value: 0.6434055464186469 and parameters: {'criterion': 'gini', 'min_samples_split': 86, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1726, 'max_depth': 1327.3317663699584}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:11:19,139] Trial 362 finished with value: 0.6198332356629299 and parameters: {'criterion': 'gini', 'min_samples_split': 2013, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1731, 'max_depth': 1345.9973622232694}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:13:16,404] Trial 363 finished with value: 0.6307866878390895 and parameters: {'criterion': 'gini', 'min_samples_split': 950, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1706, 'max_depth': 1764.4771957506484}. Best is trial 325 with value: 0.6447550363270887.
[I 2023-04-16 11:15:40,084] Trial 364 finished with value: 0.6449137349792371 and parameters: {'criterion': 'gini', 'min_samples_split': 37, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1639, 'max_depth': 1542.8351290532412}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:17:17,377] Trial 365 finished with value: 0.623722565643963 and parameters: {'criterion': 'gini', 'min_samples_split': 1969, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1636, 'max_depth': 1033.5404898985662}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:19:06,806] Trial 366 finished with value: 0.6257055898977296 and parameters: {'criterion': 'gini', 'min_samples_split': 1191, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1672, 'max_depth': 1583.25849540894}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:21:49,172] Trial 367 finished with value: 0.6432468162599168 and parameters: {'criterion': 'gini', 'min_samples_split': 19, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1821, 'max_depth': 1981.983240313507}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:24:20,635] Trial 368 finished with value: 0.6446757342608871 and parameters: {'criterion': 'gini', 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1764, 'max_depth': 1781.8283189017363}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:24:24,690] Trial 369 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 15726, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'n_estimators': 1807, 'max_depth': 1948.0246038021553}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:24:28,789] Trial 370 finished with value: 0.5026593445370737 and parameters: {'criterion': 'gini', 'min_samples_split': 26296, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1830, 'max_depth': 1697.8696082385868}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:26:08,373] Trial 371 finished with value: 0.6210235228139158 and parameters: {'criterion': 'gini', 'min_samples_split': 1914, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1724, 'max_depth': 1950.2051790445503}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:28:38,974] Trial 372 finished with value: 0.6422942147614638 and parameters: {'criterion': 'gini', 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1687, 'max_depth': 1522.0123031981127}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:30:36,557] Trial 373 finished with value: 0.6298340863406366 and parameters: {'criterion': 'gini', 'min_samples_split': 1036, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1755, 'max_depth': 1741.2003169702284}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:32:20,545] Trial 374 finished with value: 0.6299925959532946 and parameters: {'criterion': 'gini', 'min_samples_split': 978, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1623, 'max_depth': 1365.825478280091}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:33:57,455] Trial 375 finished with value: 0.6212620591441553 and parameters: {'criterion': 'gini', 'min_samples_split': 1937, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1767, 'max_depth': 1549.0927400729968}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:35:41,230] Trial 376 finished with value: 0.6315798345274328 and parameters: {'criterion': 'gini', 'min_samples_split': 895, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1641, 'max_depth': 1348.031239318913}. Best is trial 364 with value: 0.6449137349792371.
[I 2023-04-16 11:37:24,198] Trial 377 finished with value: 0.6228495812775289 and parameters: {'criterion': 'gini', 'min_samples_split': 1855, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'n_estimators': 1802, 'max_depth': 1993.889559570544}. Best is trial 364 with value: 0.6449137349792371.
